Date,Tenure,HDFC,KOTAK,ICICI,AXIS,IDFC,SBI,PNB,BOB,CANARA,UNION
2023-07-20,91 days - 179 days,,,,,,,,,5.5,
2023-07-20,180 days - 269 days,,,,,,,,,6.25,
2023-07-20,270 days - less than 1 year,,,,,,,,,6.5,
2023-07-20,1 year,,,,,,,,,6.9,
2023-07-20,444 days,,,,,,,,,7.25,
2023-07-20,Above 1 year - less than 2 years,,,,,,,,,6.9,
2023-07-20,2 years - less than 3 years,,,,,,,,,6.85,
2023-07-20,3 years - less than 5 years,,,,,,,,,6.8,
2023-07-20,5 years - 10 years,,,,,,,,,6.7,
2023-07-20,7 days - 14 days,,,,,,,,,,3.0
2023-07-20,15 days - 30 days,,,,,,,,,,3.0
2023-07-20,31 days - 45 days,,,,,,,,,,3.0
2023-07-20,46 days - 90 days,,,,,,,,,,4.05
2023-07-20,91 days - 120 days,,,,,,,,,,4.3
2023-07-20,121 days - 180 days,,,,,,,,,,4.4
2023-07-20,181 days - less than 1 year,,,,,,,,,,5.25
2023-07-20,1 year,,,,,,,,,,6.3
2023-07-20,Above 1 year - 398 days,,,,,,,,,,6.3
2023-07-20,399 days,,,,,,,,,,7.0
2023-07-20,400 days - 2 years,,,,,,,,,,6.3
2023-07-20,Above 2 years - less than 3 years,,,,,,,,,,6.3
2023-07-20,3 years,,,,,,,,,,6.5
2023-07-20,Above 3 years - 5 years,,,,,,,,,,6.7
2023-07-20,Above 5 years - 10 years,,,,,,,,,,6.7
2023-07-21,7 - 14 days,3.0,,,,,,,,,
2023-07-21,15 - 29 days,3.0,,,,,,,,,
2023-07-21,30 - 45 days,3.5,,,,,,,,,
2023-07-21,46 - 60 days,4.5,,,,,,,,,
2023-07-21,61 - 89 days,4.5,,,,,,,,,
2023-07-21,90 days - 6 months,4.5,,,,,,,,,
2023-07-21,6 months 1 day - 9 months,5.75,,,,,,,,,
2023-07-21,9 months 1 day - less than 1 year,6.0,,,,,,,,,
2023-07-21,1 year - less than 15 months,6.6,,,,,,,,,
2023-07-21,15 months - less than 18 months,7.1,,,,,,,,,
2023-07-21,18 months - less than 21 months,7.0,,,,,,,,,
2023-07-21,21 months  - 2 years,7.0,,,,,,,,,
2023-07-21,2 years 1 day - less than 2 years 11 months,7.0,,,,,,,,,
