,HDFC,ICICI,AXIS,IDFC,SBI,PNB,BOB,CANARA,UNION
188,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
189,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
190,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
191,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
192,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
193,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
194,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
195,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
196,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
197,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
198,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
199,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
200,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
201,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
202,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
203,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
204,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
205,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
206,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
207,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
208,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
209,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
210,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
211,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
212,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
213,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
214,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
215,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
216,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
217,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
218,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
219,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
220,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
221,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
222,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
223,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
224,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
225,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
226,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
227,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
228,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
229,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
230,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
231,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
232,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
233,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
234,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
235,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
236,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
237,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
238,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
239,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
240,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
241,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
242,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
243,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
244,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
245,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
246,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
247,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
248,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
249,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
250,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
251,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
252,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
253,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
