HDFC,KOTAK,ICICI,AXIS,IDFC,SBI,PNB,BOB,CANARA,UNION
None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None
4.5,4.25,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
4.5,4.25,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
4.5,4.25,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
4.5,4.25,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
4.5,4.25,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
4.5,4.25,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
4.5,4.25,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
4.5,4.25,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
4.5,4.25,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
4.5,4.25,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
4.5,4.25,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
4.5,4.25,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
4.5,4.25,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
4.5,4.25,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
4.5,4.25,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
4.5,4.25,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
4.5,4.25,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
4.5,4.25,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
4.5,4.25,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
4.5,4.25,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
4.5,4.25,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
4.5,4.25,4.75,4.75,5.0,4.5,4.5,4.5,5.5,4.4
4.5,7.0,4.75,5.75,5.0,5.25,5.5,4.5,6.25,4.4
5.75,6.0,4.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,4.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,4.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,4.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
5.75,6.0,5.75,6.0,6.5,5.75,5.5,5.75,6.5,5.25
6.0,6.0,6.0,6.0,6.5,5.75,5.8,6.75,6.5,5.25
6.0,6.0,6.0,6.0,6.5,5.75,5.8,6.75,6.5,5.25
6.0,6.0,6.0,6.0,6.5,5.75,5.8,6.75,6.5,5.25
6.0,6.0,6.0,6.0,6.5,5.75,5.8,6.75,6.5,5.25
6.0,6.0,6.0,6.0,6.5,5.75,5.8,6.75,6.5,5.25
6.0,6.0,6.0,6.0,6.5,5.75,5.8,6.75,6.5,5.25
6.0,6.0,6.0,6.0,6.5,5.75,5.8,6.75,6.5,5.25
6.0,6.0,6.0,6.0,6.5,5.75,5.8,6.75,6.5,5.25
6.0,6.0,6.0,6.0,6.5,5.75,5.8,6.75,6.5,5.25
6.0,6.0,6.0,6.0,6.5,5.75,5.8,6.75,6.5,5.25
6.0,6.0,6.0,6.0,6.5,5.75,5.8,6.75,6.5,5.25
6.0,6.0,6.0,6.0,6.5,5.75,5.8,6.75,6.5,5.25
6.0,6.0,6.0,6.0,6.5,5.75,5.8,6.75,6.5,5.25
6.0,6.0,6.0,6.0,6.5,5.75,5.8,6.75,6.5,5.25
6.0,6.0,6.0,6.0,6.5,5.75,5.8,6.75,6.5,5.25
6.0,6.0,6.0,6.0,6.5,5.75,5.8,6.75,6.5,5.25
